Sentence,Result,Polarity,Subjective
RT davidchapman141 Mitch McConnell Prefers Joe Biden over Donald Trump for one reason Money Joe Biden is controllable and thus please,Neutral,0.0,0.0
RT CNNEE El presidente de Estados Unidos Donald Trump present una solicitud a la Corte Suprema este mircoles la cual incluy parte d,Neutral,0.0,0.0
RT CBSNews Biden in Georgia jokes about the multiple recounts the Trump campaign demanded after losing the state Im starting to feel l,Neutral,0.0,0.05
RT DomDasThreads Nunca faam apostas contra Donald Trump,Neutral,0.0,0.0
,Neutral,0.0,0.0
RT BarisOzerol ABDnin kendi Bakan Donald Trump tarafnfan 28062019 tarihinde Japonyada gerekleen G20 zirvesinde S400 konusund,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
Maybe after hes out of the White House tRump will try his hand at televangelism Hes already said hes the seco,Neutral,0.0,0.0
realDonaldTrump as Bob Scaggs put it in that disco song from your generation Its Over Its Over Now,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
RT coucoumar Irn celebra la partida del terrorista Donald Trump Internacional donaldtrump estadosunidos,Neutral,0.0,0.0
RT coucoumar Irn celebra la partida del terrorista Donald Trump Internacional donaldtrump estadosunidos,Neutral,0.0,0.0
Donald Trump macht den Rcktritt seines Justizministers publik,Neutral,0.0,0.0
I prophesied about Donald Trump and Joe Biden and it came to pass did I also meet them and collected money from them,Neutral,0.0,0.0
It is Wednesday December 16th 2020 when Donald J TRUMP is THE PRESIDENT OF THE UNITED STATES OF AMERICA,Neutral,0.0,0.0
Michigans Matt Sealy Explains How President Trump Has SEVERAL Paths To VictoryNever count Donald Trump out VI,Neutral,0.0,0.0
RT Strandjunker We still havent seen Donald Trumps tax returns a real medical exam the interpreters notes from his Helsinki meeting,Neutral,0.0,0.0
RT sjaznalfarache As acta como un troll quien hasta hace poco era el ms poderoso del mundo Donald Trump El acoso es cada vez ms f,Neutral,0.0,0.0
God is with the anointed Donald J Trump For unto us a child is born unto us a son is given and the government,Neutral,0.0,0.0
RT JoeNBC James Madison 1Donald Trump 0,Neutral,0.0,0.0
RT CaslerNoel Trump has nothing on his public schedule today but I guarantee you he is on the phone figuring out ways to help Donald Tru,Neutral,0.0,0.06666666666666667
PressSec realDonaldTrump BrookeSingman The American people have spoken The Electoral College has spoken Hell,Neutral,0.0,0.0
RT NickAdamsinUSA Donald Trump is my President now tomorrow and forever,Neutral,0.0,0.0
German TV destroys Boris Johnson in The Crown parody sketch The Clown via JOEcouk,Neutral,0.0,0.0
RT bweglarczyk Powany problem organizacji Trumpa Prezydent musi przekaza dokumenty finansowe nowojorskiemu prokuratorowi,Neutral,0.0,0.0
RT JuliusKim I still find myself shaking my head at the fact that Donald Trump let hundreds of thousands of Americans die by mocking m,Neutral,0.0,0.0
RT JLCauvin Mitch McConnell congratulates BidenHarris and tells Donald Trump to STFU,Neutral,0.0,0.0
RT eraperoyano El Colegio Electoral no certifica la victoria del ganador de las elecciones hasta el prximo 6 de eneroNadie se lo,Neutral,0.0,0.0
RT brunolp30 Mardi matin le prsident Donald Trump a dclench une tempte sur Twitter en rponse au vote lectoral de lundi promettant,Neutral,0.0,0.0
RT brunolp30 Mardi le prsident Donald Trump a retweet un tweet de lavocat Lin Wood affirmant que le gouverneur de Gorgie Brian Kemp,Neutral,0.0,0.0
RT BocuhyBonilha Questo importante1 Os delegados republicanos de vrios estados em que a eleio est sendo contestada pela fraud,Neutral,0.0,0.0
RT CoryBooker The horrors of Donald Trumps immigration policies will traumatize families for years to come I pray for their healing Su,Neutral,0.0,0.0
RT WoolfInstitute Donald Trump has tweeted his Tweets and America has made its choice LawlorRuth and Prof Tony Badger join David P,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
RT wesrap All of the 38 electoral college votes for Texas go to Donald Trump txlege,Neutral,0.0,0.0
Todos saben que los artistas multiplican por millones el precio de sus baratijas para imprcisonar todos lo hace,Neutral,0.0,0.0
Donald Trumps MaraLago neighbours tell him to spend his postpresidency days elsewhere,Neutral,0.0,0.0
